apr 28 23:31:44 <canonprinter>	(i'm fairly new to html) i have a table and its border is "1" and its cellspacing is "1", but the border looks like this http://i.icap.me/2941430278757bb23.png , is there a way i can make the border as thin as like 1 pixel
apr 28 23:35:45 <jrich523>	canonprinter: 1 is 1px
apr 28 23:36:07 <jrich523>	also, use things like fiddler
apr 28 23:37:24 <canonprinter>	oh
apr 28 23:37:43 <jrich523>	with fiddler you can show us what you're doing and we can edit it/show you
apr 28 23:38:00 <jrich523>	plunker is also pretty cool
apr 28 23:39:11 <canonprinter>	ok
apr 28 23:39:25 <jrich523>	also using chrome or ff with its devtools can be very helpful, because basically what you're asking is css related
apr 28 23:39:39 <canonprinter>	ok
apr 28 23:39:42 <canonprinter>	but like
apr 28 23:39:46 <canonprinter>	http://i.icap.me/29414302792340f93.png
apr 28 23:39:48 <canonprinter>	that's what i want
apr 28 23:39:51 <canonprinter>	but the table
apr 28 23:40:01 <canonprinter>	has slightly thicker borders? not sure how to explain it
apr 28 23:40:02 <jrich523>	well thats way thicker than 1px
apr 28 23:40:06 <canonprinter>	well
apr 28 23:40:08 <canonprinter>	yes obviously
apr 28 23:40:09 <jrich523>	thats like 10 or 15px
apr 28 23:40:22 <canonprinter>	well yes i zoomed in quite a bit
apr 28 23:40:32 <canonprinter>	but i mean like that, but those lines are only 1px big
apr 28 23:40:42 <jrich523>	.....
apr 28 23:40:47 <jrich523>	1px is subjective
apr 28 23:41:02 <jrich523>	especially when you've got some random zoom going on
apr 28 23:41:19 <canonprinter>	ok
apr 28 23:41:21 <canonprinter>	here http://i.icap.me/29414302793673cb5.png
apr 28 23:41:22 <jrich523>	which is why i say, use fiddler, that way you can just show me a rendered version of your code and i can edit it on the fly
apr 28 23:41:23 <canonprinter>	like that
apr 28 23:41:29 <canonprinter>	ok
apr 28 23:41:33 <canonprinter>	i'll check out fiddler
apr 28 23:41:35 <jrich523>	so, thats more so a drop shadow
apr 28 23:41:57 <jrich523>	https://jsfiddle.net/
apr 28 23:42:43 <jrich523>	https://jsfiddle.net/#&togetherjs=csgskfoiwb
apr 28 23:47:35 <jrich523>	next time, just provide a link to jsfiddle
apr 28 23:49:38 <visage>	`paste
apr 28 23:49:43 <visage>	bleh, bot still broken.
apr 28 23:50:29 <visage>	live pastebins: http://www.webdevout.net/test, http://www.jsfiddle.net/, http://tinkerbin.com/, http://jsbin.com
<dragonpunch>	why isnt the password field being cleared when i press the refresh button
<visage>	dragonpunch: because your browser is remembering it, probably.
<dragonpunch>	ai ya yai
<meir`>	what's your perfect approach to make a little colored square with definition next to it? (i need it for color legend)
<[tyrant]>	just joined
<[tyrant]>	the perfect apprach is to make a little colored square with definition next to it
<[tyrant]>	y0 so i need a few peeps
<[tyrant]>	taking over food
<meir`>	[tyrant], just exploring the most elegant way
<meir`>	it can be a little div, or table td, or anything else
<[tyrant]>	elegance is not a definition
<[tyrant]>	what it look like
<[tyrant]>	ill tell you
<meir`>	http://i.stack.imgur.com/cxcjs.png
<meir`>	i wanna mimic this with some clean html code
<[tyrant]>	thats
<[tyrant]>	jesus dude
<[tyrant]>	ul with the squares on side
<meir`>	i'm just wondering about the *squears* themselves
<[tyrant]>	you make an image
<meir`>	are they small divs in your opinion?
<[tyrant]>	and get it done
<[tyrant]>	no
<meir`>	that's exatcly what i wanna avoid
<meir`>	or perhaps i'll make by css3?
<[tyrant]>	margin with that image in the li elements
<[tyrant]>	no
<[tyrant]>	not even close to css3
<meir`>	i don't want to create permanent images
<oksushi>	meir`: anything about “how things look” goes to #css
<cojabo>	..isn't there a square option already? lol
<[tyrant]>	haha
<cojabo>	list-style: square;  even.. lol
<meir`>	cojabo, well, there's the ul css list-style-type:square
<[tyrant]>	he had such an elaborate starting question
<meir`>	[tyrant], i'm just a bit crazy about beautifuling the code
<[tyrant]>	you should be
<[tyrant]>	stop it guys
<[tyrant]>	img and done
<[tyrant]>	hes not making google
<[tyrant]>	damn
<meir`>	[tyrant], i can't use permanent images
<[tyrant]>	what bandwidth?
<meir`>	it should be dynamic, following some selected css color by the user
<[tyrant]>	hahahaha
<[tyrant]>	pick your hacks man
<meir`>	it's not about storage
<cojabo>	..whytf would you use images for that when theres that style built-in
<[tyrant]>	just put the img to the left
<meir`>	cojabo, 'cause controlling the bullet size is a pain
<cojabo>	if it has to be exact, hell, use ::before or something
<cojabo>	it's #css anyway, so yeh..
<[tyrant]>	stop yes
