<orakar>	gedit is running incredibly slow and my cursor is blinking when i have unsaved modifications. as soon as i hit ctrl+s it acts normally, and then a few more unsaved modifications make it run dog slow again. any idea what's up? my notebook sucks, but it runs eclipse luna fine!
<bekks>	hikarubg: next time, build a deb file instead.
<hikarubg>	bekks, :) thanks! :)
<guest97876>	for add new boot option, its just select filesystem, path for boot option
<guest97876>	and for select filesystem, the only one there is the usb
<eric^^>	ok, try the efi/boot/grubx64.efi you were using earlier
<eric^^>	guest97876: using the usb's partition letter
<mrx>	i am running 15.04. when i shutdown i get a black screen with a blinking cursor
<hikarubg>	so bekks, you think i can't remove it and i should trash my laptop? :) no solution, guys?
<cromagi>	daftykins: my pc won't boot now
<daftykins>	!recovery | cromagi ok do this then purge the package i suggested
<ubottu>	cromagi ok do this then purge the package i suggested: if your system fails to boot normally, it may be useful to boot it into recovery mode. for instructions, see https://wiki.ubuntu.com/recoverymode
<guest97876>	argh hang on, i have to find the path again
<fun>	hi
<fun>	if i run sudo rm -rf /etc/systemd will ubuntu work?
<networkingpro>	hey everyone
<daftykins>	lo
<guest97876>	ok eric, i add that as a boot option, but it doesnt? like register? at all
<guest97876>	when i go back to boot option priorities there's still nothing there
<networkingpro>	is there an app or service that will listen for traffic on a socket and forward it to a different ip?
<guest97876>	should i try restoring the default values for setup options?
<oerheks>	hikarubg, solution for that old php 5.3.29 ? install precise with 5.3.10
<eric^^>	guest97876: try a different letter or try using the usb as the file system
<vandergroot>	hi
<eric^^>	guest97876: no, try leaving csm disabled boot the usb
<guest97876>	what do you mean by different letter
<guest97876>	j:\efi\boot\grubx64.efi  is the path, are you saying to just tpye in a different letter for j?
<eric^^>	guest97876: like e:\efi\boot\grubx64.efi
<hikarubg>	oerheks, now i am striving to remove what i have installed... thanks for the tip on the precise tip.
<hikarubg>	do you know how to remove make install php ?
<eric^^>	guest97876: try or i:\efi\...
<guest97876>	ok...just to be sure, ive been typing in fs0:\j:\efi\boot\grubx64.efi , since on the side of the screen it says "enter the path to the boot option in the format fs0:\path\filename.efi
<eric^^>	guest97876: try fs1:\efi\boot\grubx64.efi
<eric^^>	guest97876: are you at shell?
<oerheks>	hikarubg, make uninstall php ?
<guest97876>	no, im at bios
<guest97876>	but i wil try fs1
<hikarubg>	oerheks, yes, i did install the 5.3.29 version from the source, using make, make install ....
<guest97876>	wait a minute
<hikarubg>	and now i want to remove it
<guest97876>	i see "launch efi shell from filesystem device
<guest97876>	should i hit that?
<eric^^>	guest97876: try using fs1 first
<guest97876>	it still didnt show up as a saved option but ok!
<eric^^>	guest97876: hmm try fs0:\efi\boot\grubx64.efi
<guest97876>	yep, that didnt work
<eric^^>	guest97876: ok, try to launch the shell
<guest97876>	ugh, i hit that and it tells me warning: not found
<azeirah>	hey all, does anyone here know where i can find the workspaces related code of ubuntu unity? it's a large repo
<oerheks>	hikarubg, checkinstall would have been better, if there is no make uninstall, make install can help finding installed files.
<reisio>	azeirah: compiz
<hikarubg>	oerheks, and remove them? :) is this won't break nothing else?
<azeirah>	that's in compiz? alright, i'll see if i can find something
<oerheks>	hikarubg, i cannot guarantee it breakes something.
<oerheks>	or not
<eric^^>	guest97876: ok, we could install in legacy mode if you want
<vandergroot>	i want to run a dual boot with ubuntu and windows 8. in what order should i install them?
<fun>	can 15.04 run initd?
<eric^^>	guest97876: you could convert it to uefi if you want
<eric^^>	vandergroot: windows then ubuntu
<vandergroot>	eric^^: thanks. will ubuntu handle the os selection with grub?
<eric^^>	vandergroot: yeah
<guest97876>	that seems to be the only available option ):
<vandergroot>	great. thanks. :)
<guest97876>	so, just enable legacy mode and csm again?
<eric^^>	guest97876: yes
<eric^^>	vandergroot: no problem :)
<guest97876>	ok, what else
<eric^^>	guest97876: check the bios if there is some kind of, don't boot the usb option enabled or something
<eric^^>	also check if secureboot was enabled
<guest97876>	well, under usb confirugration, there is legacy usb support enabled
<leearl>	guys how do i view the refresh rate?
<eric^^>	try to disable that, and reboot and see if it boots the usb maybe
<eric^^>	guest97876: it's a long shot but who knows
<guest97876>	the other legacy i was talking about was launch pxe oprom, which was described as "controls the execution of legacy pxe oprom
<azeirah>	i'm really impressed by how readable the compiz source code is compared to what i was just reading from the unity source, lol
<fun>	http://www.osho.com/iosho/library/read-book/online-library-programming-eve-feel-6b55b211-462?p=4036e466dc00c584d4fb410aec7f6229
<fun>	:)
<guest97876>	ah
<guest97876>	we're back to grub now
<eric^^>	guest97876: did you enable csm?
<vandergroot>	mmmmm. grub....
<hikarubg>	thanks, oerheks
<leearl>	fun whoever wrote that is a psycho
<guest97876>	ugh, i cant remember if i did or not. let me go back and check
<fun>	leearl well what makes u say that?
<guest97876>	yes, csm and pxe oprom both enabled
