**** BEGIN LOGGING AT Sat May 02 20:58:46 2015

<DarkElement>	Hey dude you there?
*	Disconnected (No such device or address)
*	Disconnected (No such device or address)
<Rainb>	Hm
<Rainb>	Well, I am now.
<Rainb>	:/
<Rainb>	Sorry
<Rainb>	I kind was sleepy
*	Disconnected (Connection reset by peer)
*	Disconnected (No such device or address)
*	Disconnected (Remote host closed socket)
*	Disconnected (No such device or address)
*	Disconnected (No such device or address)
*	Disconnected (No such device or address)
*	Disconnected (Remote host closed socket)
*	Disconnected (Connection reset by peer)
*	Disconnected (Connection reset by peer)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Connection reset by peer)
*	Disconnected (Connection reset by peer)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (No such device or address)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Connection reset by peer)
*	Disconnected (Connection reset by peer)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
**** ENDING LOGGING AT Mon May 04 22:22:38 2015

**** BEGIN LOGGING AT Fri May 15 17:14:46 2015

*	Disconnected (Connection reset by peer)
*	Disconnected (No such device or address)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Connection reset by peer)
*	Disconnected (Connection reset by peer)
*	Disconnected (Remote host closed socket)
*	Disconnected (No such device or address)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (No such device or address)
*	Disconnected (Connection reset by peer)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (Remote host closed socket)
*	Disconnected (No such device or address)
*	Disconnected (Connection reset by peer)
*	Disconnected (Connection reset by peer)
*	Disconnected (Connection reset by peer)
*	Disconnected (Connection reset by peer)
*	Disconnected (Connection reset by peer)
*	Disconnected (Connection reset by peer)
*	Disconnected (Connection reset by peer)
